[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php on line 4, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   4. db_connect() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php:590, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: dashboard_active in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 173, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: statements_active in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 179, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: activity_active in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 185, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: documents_active in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 198, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 775, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'permRepID' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 775, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: where_clause in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 776, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:106, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'permRepID' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:106, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: where_clause in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 695, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:106, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:134, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'permRepID' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:134, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: where_clause in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 695, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.452994 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:134, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php on line 4, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. session_start() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:4, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: db_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 65, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.195341 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. db_connect() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:8, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 1172, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. sign_out() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:14, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'webpswd' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 1172, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. sign_out() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:14, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 1173, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. sign_out() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:14, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'username' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 1173, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. sign_out() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:14, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: company_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 1176, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.197334 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. sign_out() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\junction.php:14, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php on line 4, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:2, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   3. session_start() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php:4, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: company_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php on line 24, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:2, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.210300 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: db_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 65, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.211303 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.211303 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:0, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.211303 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:2, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:36.211303 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   3. db_connect() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php:27, referer: http://foxtrot_online:2000/reports.php
[Sat Sep 08 12:14:43.893495 2018] [php7:notice] [pid 7572:tid 1296] [client 127.0.0.1:53156] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php on line 4, referer: http://foxtrot_online:2000/login.php?company_name=null
[Sat Sep 08 12:14:43.893495 2018] [php7:notice] [pid 7572:tid 1296] [client 127.0.0.1:53156] PHP Stack trace:, referer: http://foxtrot_online:2000/login.php?company_name=null
[Sat Sep 08 12:14:43.894492 2018] [php7:notice] [pid 7572:tid 1296] [client 127.0.0.1:53156] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:0, referer: http://foxtrot_online:2000/login.php?company_name=null
[Sat Sep 08 12:14:43.894492 2018] [php7:notice] [pid 7572:tid 1296] [client 127.0.0.1:53156] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\login.php:2, referer: http://foxtrot_online:2000/login.php?company_name=null
